Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
,G133T-78,70529,73021,+
,G133T-779,748577,748939,-
,G133T-778,748147,748473,-
,G133T-777,747415,748110,+
 //  // ,G133T-776 // G133T-775 // G133T-774,745992 // 745096 // 744126,747332 // 745983 // 745082,+
,G133T-773,742563,744071,+
,G133T-772,739868,742441,+
 // ,G133T-771 // G133T-770,737833 // 737172,739824 // 737825,+
 // ,G133T-77 // G133T-76,70267 // 70181,70338 // 70254,+
,G133T-769,735197,737014,+
,G133T-768,733286,735130,+
 //  //  //  //  //  //  // ,G133T-767 // G133T-766 // G133T-765 // G133T-764 // G133T-763 // G133T-762 // G133T-761 // G133T-760,732521 // 731862 // 731174 // 728872 // 727815 // 726909 // 725976 // 724696,733147 // 732524 // 731869 // 731157 // 728849 // 727799 // 726905 // 725979,+
 //  // ,G133T-759 // G133T-758 // G133T-757,723486 // 721753 // 721127,724592 // 723486 // 721756,+
,G133T-756,720740,721012,+
,G133T-755,720145,720687,+
 //  // ,G133T-754 // G133T-753 // G133T-752,719451 // 719173 // 718941,720020 // 719436 // 719189,+
 // ,G133T-751 // G133T-750,717954 // 717514,718814 // 717957,+
,G133T-75,69626,70012,+
,G133T-749,715446,716165,+
,G133T-748,713993,715123,+
,G133T-747,712809,713831,+
,G133T-746,710588,712597,-
,G133T-745,709667,709873,-
,G133T-744,709295,709600,-
,G133T-743,707885,709033,+
 // ,G133T-742 // G133T-741,705973 // 703322,707772 // 705961,+
,G133T-740,703059,703247,+
 //  // ,G133T-74 // G133T-73 // G133T-72,69168 // 68515 // 68216,69545 // 69150 // 68518,+
,G133T-739,702029,702931,-
,G133T-738,700637,702016,+
,G133T-737,699470,700381,+
,G133T-736,695989,699147,+
,G133T-735,694988,695857,-
 //  // ,G133T-734 // G133T-733 // G133T-732,693543 // 692072 // 691766,694973 // 693529 // 692056,+
,G133T-731,689874,691352,-
,G133T-730,689069,689761,-
,G133T-729,688030,689031,+
 //  // ,G133T-728 // G133T-727 // G133T-726,686669 // 684647 // 682404,687859 // 686653 // 684623,+
 // ,G133T-725 // G133T-724,681656 // 681500,682342 // 681631,+
,G133T-723,679814,681391,-
 //  // ,G133T-722 // G133T-721 // G133T-720,679465 // 678467 // 676698,679779 // 679462 // 678440,+
,G133T-719,676342,676569,-
,G133T-718,675053,676327,+
,G133T-717,674490,674909,-
 //  //  //  //  //  //  //  // ,G133T-716 // G133T-715 // G133T-714 // G133T-713 // G133T-712 // G133T-711 // G133T-710 // G133T-709 // G133T-708,673182 // 671628 // 671044 // 670007 // 668475 // 666271 // 665604 // 665353 // 664635,674450 // 673166 // 671631 // 671047 // 669905 // 668499 // 666287 // 665607 // 665360,+
 //  // ,G133T-71 // G133T-70 // G133T-69,67877 // 66405 // 64817,68137 // 67874 // 66415,+
 //  // ,G133T-707 // G133T-706 // G133T-705,663266 // 662127 // 661646,664561 // 663269 // 662134,+
 // ,G133T-704 // G133T-703,661126 // 660572,661323 // 661126,+
,G133T-702,660191,660358,+
,G133T-701,659229,660032,+
,G133T-700,657696,659018,+
,G133T-7,6780,6893,-
 //  //  //  // ,G133T-699 // G133T-698 // G133T-697 // G133T-696 // G133T-695,655765 // 655639 // 653398 // 652180 // 651218,657315 // 655764 // 655611 // 653376 // 652180,+
,G133T-694,649996,650868,+
 // ,G133T-693 // G133T-692,649636 // 648189,649824 // 649598,-
,G133T-691,646496,648037,-
 // ,G133T-690 // G133T-689,645409 // 644581,646398 // 645396,-
,G133T-688,644289,644498,-
,G133T-687,643941,644099,-
,G133T-686,642861,643907,+
,G133T-685,642424,642795,+
,G133T-684,640945,641985,-
,G133T-683,639476,640897,+
,G133T-682,639254,639367,+
,G133T-681,637866,638891,-
 //  // ,G133T-680 // G133T-679 // G133T-678,636848 // 636053 // 635067,637819 // 636817 // 636053,+
,G133T-68,64099,64635,+
,G133T-677,634279,634962,+
 //  // ,G133T-676 // G133T-675 // G133T-674,633157 // 631635 // 630428,634083 // 633026 // 631561,+
,G133T-673,627809,630298,-
,G133T-672,627353,627703,+
,G133T-671,626797,626970,+
,G133T-670,626195,626410,-
,G133T-67,60430,63963,+
 //  // ,G133T-669 // G133T-668 // G133T-667,624664 // 623630 // 622657,626061 // 624661 // 623598,+
 // ,G133T-666 // G133T-665,619562 // 618257,620731 // 619540,+
,G133T-664,617147,617377,+
,G133T-663,615747,615899,-
,G133T-662,615324,615452,-
,G133T-661,613268,614902,+
,G133T-660,612937,613221,+
,G133T-66,60130,60360,+
 // ,G133T-659 // G133T-658,611964 // 611776,612698 // 611967,-
 //  //  // ,G133T-657 // G133T-656 // G133T-655 // G133T-654,610983 // 610794 // 610125 // 609616,611738 // 610967 // 610772 // 610128,+
,G133T-653,607562,609490,-
 //  //  //  // ,G133T-652 // G133T-651 // G133T-650 // G133T-649 // G133T-648,606292 // 605844 // 605145 // 604688 // 603696,607332 // 606299 // 605834 // 605164 // 604673,+
,G133T-65,59504,60070,+
 //  //  //  //  //  // ,G133T-647 // G133T-646 // G133T-645 // G133T-644 // G133T-643 // G133T-642 // G133T-641,603439 // 603302 // 603172 // 600189 // 598467 // 598234 // 598144,603512 // 603375 // 603287 // 603116 // 600021 // 598304 // 598217,+
 //  //  // ,G133T-640 // G133T-639 // G133T-638 // G133T-637,595808 // 594842 // 593946 // 593204,596896 // 595789 // 594845 // 593917,+
,G133T-64,58783,59397,+
 //  //  // ,G133T-636 // G133T-635 // G133T-634 // G133T-633,591664 // 590318 // 589967 // 589656,593061 // 591646 // 590299 // 589967,+
,G133T-632,588159,589325,-
,G133T-631,587577,588143,+
 // ,G133T-630 // G133T-629,587385 // 586407,587501 // 587384,+
 // ,G133T-63 // G133T-62,57745 // 56352,58698 // 57722,+
 // ,G133T-628 // G133T-627,585842 // 585327,586321 // 585824,-
,G133T-626,584845,585252,+
 // ,G133T-625 // G133T-624,583131 // 582355,584519 // 583107,-
,G133T-623,581129,582316,+
,G133T-622,579706,580968,+
,G133T-621,578905,579579,+
,G133T-620,577919,578656,-
,G133T-619,576675,577883,+
 // ,G133T-618 // G133T-617,575870 // 575225,576304 // 575854,-
 // ,G133T-616 // G133T-615,572422 // 571967,575079 // 572425,+
,G133T-614,571280,571798,-
,G133T-613,569732,571108,-
,G133T-612,567769,569412,-
,G133T-611,567136,567609,+
 // ,G133T-610 // G133T-609,566641 // 566045,566973 // 566632,+
,G133T-61,56156,56278,-
 //  // ,G133T-608 // G133T-607 // G133T-606,565474 // 565218 // 564774,565746 // 565460 // 565205,-
,G133T-605,564052,564759,+
,G133T-604,563262,563843,-
,G133T-603,562908,563138,-
,G133T-602,562717,562857,+
,G133T-601,562496,562615,+
,G133T-600,562140,562376,-
,G133T-60,55914,56159,+
,G133T-6,4867,6783,+
,G133T-599,561762,562100,+
,G133T-598,561187,561576,+
 // ,G133T-597 // G133T-596,560147 // 559511,561085 // 560131,+
,G133T-595,558142,559035,-
,G133T-594,557219,558031,-
,G133T-593,556440,557129,-
,G133T-592,556266,556394,+
,G133T-591,555336,556238,-
,G133T-590,555156,555287,+
 // ,G133T-59 // G133T-58,55295 // 54441,55672 // 55298,+
,G133T-589,552750,554924,+
 // ,G133T-588 // G133T-587,551993 // 550837,552634 // 552000,+
 // ,G133T-586 // G133T-585,550366 // 550190,550509 // 550363,-
,G133T-584,549661,550104,-
,G133T-583,548901,549581,+
,G133T-582,548188,548811,-
,G133T-581,546622,548070,+
,G133T-580,545569,546489,-
,G133T-579,544736,545512,+
,G133T-578,544362,544487,+
 // ,G133T-577 // G133T-576,542922 // 542574,544229 // 542909,+
,G133T-575,542080,542265,+
,G133T-574,541361,541966,+
,G133T-573,539979,541166,-
,G133T-572,539233,539835,+
,G133T-571,538745,539131,-
,G133T-570,537723,538595,+
,G133T-57,53507,54385,+
,G133T-569,537139,537468,-
,G133T-568,536485,537057,-
,G133T-567,536007,536432,+
,G133T-566,534422,535813,+
,G133T-565,533404,534267,-
,G133T-564,533137,533256,+
,G133T-563,532323,532982,-
,G133T-562,531378,531971,+
,G133T-561,530853,531002,-
,G133T-560,529247,530536,+
,G133T-56,53204,53368,+
,G133T-559,527746,529134,+
,G133T-558,526647,527519,-
,G133T-557,525535,526494,+
,G133T-556,524547,525422,-
,G133T-555,524213,524443,-
,G133T-554,523918,524034,-
,G133T-553,523184,523660,-
,G133T-552,522297,522497,+
,G133T-551,521441,522034,+
 // ,G133T-550 // G133T-549,519795 // 519594,520481 // 519770,+
,G133T-55,52763,53023,+
,G133T-548,519154,519345,+
,G133T-547,517701,519011,+
,G133T-546,516743,517507,+
,G133T-545,515648,516190,+
,G133T-544,515084,515533,-
,G133T-543,514551,514961,+
,G133T-542,513272,514291,-
 //  //  //  //  //  // ,G133T-541 // G133T-540 // G133T-539 // G133T-538 // G133T-537 // G133T-536 // G133T-535,512879 // 512717 // 512630 // 512529 // 512446 // 512326 // 512247,512962 // 512798 // 512702 // 512600 // 512517 // 512413 // 512318,+
,G133T-54,51680,52552,+
,G133T-534,511672,512124,+
,G133T-533,511455,511568,-
,G133T-532,509286,511445,+
 //  //  //  // ,G133T-531 // G133T-530 // G133T-529 // G133T-528 // G133T-527,508749 // 508325 // 508167 // 507980 // 507903,509192 // 508765 // 508328 // 508141 // 508019,+
 // ,G133T-53 // G133T-52,50640 // 50087,51518 // 50647,+
 //  //  // ,G133T-526 // G133T-525 // G133T-524 // G133T-523,507193 // 506405 // 505957 // 505631,507792 // 507193 // 506439 // 505960,+
 //  //  // ,G133T-522 // G133T-521 // G133T-520 // G133T-519,504562 // 504149 // 503780 // 502954,505569 // 504550 // 504145 // 503775,+
 // ,G133T-518 // G133T-517,502486 // 502200,502836 // 502481,+
,G133T-516,500915,502084,+
,G133T-515,499679,500800,+
,G133T-514,499253,499618,+
,G133T-513,498559,499158,-
 // ,G133T-512 // G133T-511,496829 // 496357,498307 // 496836,+
,G133T-510,494700,496184,+
,G133T-51,48629,49942,+
 // ,G133T-509 // G133T-508,492855 // 491770,494300 // 492855,+
,G133T-507,491296,491616,-
,G133T-506,490409,491281,+
 // ,G133T-505 // G133T-504,489998 // 489865,490162 // 490011,-
,G133T-503,488695,489840,+
,G133T-502,488232,488567,+
 //  // ,G133T-501 // G133T-500 // G133T-499,487370 // 486451 // 486294,488137 // 487377 // 486458,+
,G133T-50,47706,48473,+
 //  // ,G133T-5 // G133T-4 // G133T-3,4567 // 3437 // 3206,4812 // 4549 // 3421,+
,G133T-498,485122,486174,+
,G133T-497,483709,484974,+
 // ,G133T-496 // G133T-495,482908 // 481311,483588 // 482918,+
,G133T-494,480189,481241,-
,G133T-493,479283,480104,-
 // ,G133T-492 // G133T-491,478887 // 478552,479246 // 478893,+
,G133T-490,478049,478420,+
,G133T-49,45633,47627,+
,G133T-489,477102,477920,+
 //  // ,G133T-488 // G133T-487 // G133T-486,476532 // 476447 // 476197,477044 // 476563 // 476454,-
 // ,G133T-485 // G133T-484,475746 // 475576,475964 // 475785,-
,G133T-483,474723,475532,+
,G133T-482,473795,474217,+
,G133T-481,473166,473717,+
 // ,G133T-480 // G133T-479,472577 // 471701,473080 // 472561,+
,G133T-48,44848,45132,-
,G133T-478,470949,471545,-
,G133T-477,469418,470929,+
,G133T-476,469179,469322,+
,G133T-475,467122,469206,+
,G133T-474,466034,466936,+
,G133T-473,463926,465932,+
,G133T-472,463488,463775,-
,G133T-471,463237,463482,+
,G133T-470,462423,463064,+
,G133T-47,43921,44799,+
,G133T-469,461607,462359,+
 //  // ,G133T-468 // G133T-467 // G133T-466,459023 // 457803 // 457015,459814 // 459017 // 457788,+
,G133T-465,456060,456809,+
,G133T-464,455338,455730,+
,G133T-463,454644,455252,-
 // ,G133T-462 // G133T-461,454159 // 453972,454584 // 454148,+
,G133T-460,452828,453886,+
,G133T-46,43734,43946,+
,G133T-459,451610,452731,+
,G133T-458,449190,449543,+
 //  // ,G133T-457 // G133T-456 // G133T-455,448453 // 446793 // 446166,449025 // 448418 // 446780,-
 // ,G133T-454 // G133T-453,445336 // 444453,446121 // 445316,+
 // ,G133T-452 // G133T-451,442888 // 441563,444330 // 442873,+
,G133T-450,440017,441456,-
,G133T-45,42917,43660,+
,G133T-449,439701,440015,+
 // ,G133T-448 // G133T-447,439274 // 438508,439561 // 439257,-
 // ,G133T-446 // G133T-445,437466 // 436028,438371 // 437446,-
 //  //  // ,G133T-444 // G133T-443 // G133T-442 // G133T-441,435028 // 434248 // 433307 // 432364,435981 // 435006 // 434254 // 433314,+
,G133T-440,430615,431979,-
 //  //  // ,G133T-44 // G133T-43 // G133T-42 // G133T-41,42499 // 41657 // 40665 // 40267,42858 // 42484 // 41654 // 40653,+
 // ,G133T-439 // G133T-438,430348 // 430177,430461 // 430308,-
 // ,G133T-437 // G133T-436,429955 // 428823,430077 // 429971,+
 // ,G133T-435 // G133T-434,427242 // 426569,428660 // 427252,+
 // ,G133T-433 // G133T-432,424896 // 424200,426356 // 424880,-
 //  // ,G133T-431 // G133T-430 // G133T-429,422974 // 421726 // 420102,424095 // 422949 // 421736,+
,G133T-428,419755,419976,-
,G133T-427,417985,419739,+
,G133T-426,416227,417705,-
,G133T-4254,4032606,4032956,-
 // ,G133T-4253 // G133T-4252,4031676 // 4031053,4032458 // 4031679,-
 //  // ,G133T-4251 // G133T-4250 // G133T-4249,4029363 // 4027456 // 4026723,4030742 // 4029342 // 4027442,-
,G133T-425,415342,416187,+
,G133T-4248,4025750,4026601,-
,G133T-4247,4025259,4025699,+
 // ,G133T-4246 // G133T-4245,4024250 // 4023409,4025011 // 4024257,-
,G133T-4244,4022753,4023370,+
,G133T-4243,4021277,4022290,-
,G133T-4242,4020977,4021183,-
,G133T-4241,4018923,4020926,-
,G133T-4240,4017696,4018796,-
 // ,G133T-424 // G133T-423,413149 // 412532,414570 // 413146,+
 // ,G133T-4239 // G133T-4238,4017298 // 4016739,4017585 // 4017257,-
,G133T-4237,4015633,4016391,-
,G133T-4236,4014639,4015574,-
 // ,G133T-4235 // G133T-4234,4014203 // 4013631,4014583 // 4014185,-
,G133T-4233,4012242,4013597,+
,G133T-4232,4011117,4012016,-
,G133T-4231,4009126,4011120,+
 // ,G133T-4230 // G133T-4229,4008062 // 4007796,4008979 // 4008065,+
,G133T-4228,4007334,4007498,+
,G133T-4227,4005534,4006910,-
,G133T-4226,4004461,4005027,+
,G133T-4225,4003945,4004301,+
,G133T-4224,4003013,4003534,-
 // ,G133T-4223 // G133T-4222,4002313 // 4001870,4002918 // 4002316,+
,G133T-4221,4001298,4001750,-
,G133T-4220,4000489,4001151,-
,G133T-422,411570,412442,-
,G133T-4219,3999835,4000314,+
 // ,G133T-4218 // G133T-4217,3999309 // 3998417,3999752 // 3999295,+
,G133T-4216,3997016,3998230,-
,G133T-4215,3996144,3996983,+
,G133T-4214,3995609,3996019,-
,G133T-4213,3994753,3995541,-
 //  //  // ,G133T-4212 // G133T-4211 // G133T-4210 // G133T-4209,3993722 // 3992970 // 3992263 // 3991518,3994378 // 3993725 // 3992973 // 3992273,+
 //  // ,G133T-421 // G133T-420 // G133T-419,410648 // 409957 // 409200,411454 // 410661 // 409943,-
,G133T-4208,3991201,3991404,+
,G133T-4207,3990112,3990258,-
,G133T-4206,3989931,3990044,-
,G133T-4205,3989691,3989831,+
 // ,G133T-4204 // G133T-4203,3989478 // 3989249,3989621 // 3989488,-
,G133T-4202,3987898,3989205,+
 // ,G133T-4201 // G133T-4200,3987477 // 3987019,3987797 // 3987465,-
,G133T-4199,3986057,3986986,+
,G133T-4198,3985475,3985852,-
,G133T-4197,3984963,3985445,+
 // ,G133T-4196 // G133T-4195,3984668 // 3984552,3984817 // 3984665,-
 //  // ,G133T-4194 // G133T-4193 // G133T-4192,3983512 // 3981496 // 3981050,3984441 // 3983475 // 3981499,-
,G133T-4191,3978956,3981013,+
,G133T-4190,3977643,3978851,+
,G133T-4189,3977430,3977570,+
,G133T-4188,3977106,3977309,-
,G133T-4187,3976858,3977058,+
,G133T-4186,3975324,3976688,-
,G133T-4185,3974784,3975203,-
,G133T-4184,3973286,3974578,-
 //  //  // ,G133T-4183 // G133T-4182 // G133T-4181 // G133T-4180,3972989 // 3972905 // 3972750 // 3972639,3973061 // 3972976 // 3972823 // 3972711,-
 // ,G133T-418 // G133T-417,408904 // 408232,409020 // 408879,-
 //  //  //  // ,G133T-4179 // G133T-4178 // G133T-4177 // G133T-4176 // G133T-4175,3971548 // 3969705 // 3968348 // 3967519 // 3966703,3972258 // 3971540 // 3969715 // 3968361 // 3967497,-
 // ,G133T-4174 // G133T-4173,3965419 // 3965271,3966621 // 3965399,-
,G133T-4172,3965124,3965240,+
,G133T-4171,3964966,3965154,-
,G133T-4170,3963599,3964984,+
,G133T-4169,3962153,3963391,-
 // ,G133T-4168 // G133T-4167,3960527 // 3959563,3961930 // 3960453,-
 // ,G133T-4166 // G133T-4165,3959210 // 3958112,3959326 // 3959209,+
,G133T-4164,3957531,3958001,-
 //  // ,G133T-4163 // G133T-4162 // G133T-4161,3956652 // 3955478 // 3955214,3957389 // 3956641 // 3955462,-
,G133T-4160,3954939,3955109,-
,G133T-416,407630,408127,-
,G133T-4159,3953650,3954861,-
,G133T-4158,3953203,3953616,+
,G133T-4157,3952848,3953018,-
,G133T-4156,3952288,3952767,-
 //  // ,G133T-4155 // G133T-4154 // G133T-4153,3950581 // 3950190 // 3948430,3952026 // 3950588 // 3950181,-
,G133T-4152,3945971,3947896,+
,G133T-4151,3945350,3945499,-
 // ,G133T-4150 // G133T-4149,3944333 // 3943594,3945292 // 3944352,-
,G133T-415,406123,407457,+
 // ,G133T-4148 // G133T-4147,3942815 // 3942072,3943444 // 3942794,-
 // ,G133T-4146 // G133T-4145,3941783 // 3941045,3941941 // 3941755,+
 // ,G133T-4144 // G133T-4143,3940471 // 3939018,3940701 // 3940457,-
 // ,G133T-4142 // G133T-4141,3937379 // 3936802,3938908 // 3937365,+
 //  //  // ,G133T-4140 // G133T-4139 // G133T-4138 // G133T-4137,3934932 // 3933563 // 3931993 // 3931269,3936338 // 3934909 // 3933534 // 3932000,+
,G133T-414,405061,405999,-
,G133T-4136,3929925,3931073,-
,G133T-4135,3928801,3929832,-
 // ,G133T-4134 // G133T-4133,3928069 // 3927746,3928761 // 3928099,+
,G133T-4132,3927037,3927468,-
,G133T-4131,3925910,3926980,+
,G133T-4130,3925204,3925779,-
,G133T-413,404450,405007,-
,G133T-4129,3924097,3925110,-
,G133T-4128,3922781,3923989,-
,G133T-4127,3922296,3922751,+
,G133T-4126,3921614,3922039,-
,G133T-4125,3920281,3921516,-
 //  //  //  // ,G133T-4124 // G133T-4123 // G133T-4122 // G133T-4121 // G133T-4120,3919018 // 3916778 // 3916275 // 3916002 // 3915268,3920217 // 3919021 // 3916757 // 3916271 // 3916002,+
,G133T-412,403227,404435,+
,G133T-4119,3913767,3914759,-
,G133T-4118,3913208,3913687,-
,G133T-4117,3911832,3913169,+
,G133T-4116,3910547,3911689,-
,G133T-4115,3909697,3910518,+
,G133T-4114,3909329,3909580,-
,G133T-4113,3907281,3909161,-
,G133T-4112,3905854,3907239,+
 // ,G133T-4111 // G133T-4110,3905308 // 3904654,3905616 // 3905304,+
 //  //  // ,G133T-411 // G133T-410 // G133T-409 // G133T-408,402380 // 398524 // 387736 // 376960,403108 // 402351 // 398487 // 387723,+
,G133T-4109,3904366,3904560,-
,G133T-4108,3903460,3904392,+
,G133T-4107,3902651,3903406,+
,G133T-4106,3900772,3902235,-
 //  //  //  //  //  // ,G133T-4105 // G133T-4104 // G133T-4103 // G133T-4102 // G133T-4101 // G133T-4100 // G133T-4099,3899882 // 3898881 // 3896935 // 3896025 // 3894694 // 3893637 // 3892748,3900697 // 3899858 // 3898848 // 3896918 // 3896010 // 3894671 // 3893617,-
 // ,G133T-4098 // G133T-4097,3891826 // 3890933,3892662 // 3891805,-
 // ,G133T-4096 // G133T-4095,3890136 // 3889162,3890825 // 3890139,-
,G133T-4094,3888245,3889018,-
 // ,G133T-4093 // G133T-4092,3886402 // 3886041,3888270 // 3886388,-
,G133T-4091,3885035,3886000,+
